ma_truong,ten_truong,dia_diem,ma_nganh,ten_nganh,diem,to_hop_mon
QSB,Đại học Bách khoa - Đại học Quốc gia TP HCM,TP HCM,106,Khoa học Máy tính; Kỹ thuật Máy tính; (Nhóm ngành),83.61,"A00, A01"
QSB,Đại học Bách khoa - Đại học Quốc gia TP HCM,TP HCM,107,Kỹ thuật máy tính,79.84,"A00, A01"
QSB,Đại học Bách khoa - Đại học Quốc gia TP HCM,TP HCM,108,Kỹ thuật Điện; Kỹ thuật Điện tử - Viễn thông; Kỹ thuật Điều khiển và tự động hóa; (Nhóm ngành),70.42,"A00, A01"
QSB,Đại học Bách khoa - Đại học Quốc gia TP HCM,TP HCM,109,Kỹ thuật Cơ khí; Kỹ thuật Cơ điện tử; (Nhóm ngành),72.4,"A00, A01"
QSB,Đại học Bách khoa - Đại học Quốc gia TP HCM,TP HCM,110,Kỹ thuật Cơ điện tử,72.25,"A00, A01"
QSB,Đại học Bách khoa - Đại học Quốc gia TP HCM,TP HCM,112,Kỹ thuật Dệt; Công nghệ Dệt may; (Nhóm ngành),59.56,"A00, A01"
QSB,Đại học Bách khoa - Đại học Quốc gia TP HCM,TP HCM,114,Kỹ thuật Hóa học; Công nghệ Thực phẩm; Công nghệ Sinh học; (Nhóm ngành),70.49,"A00, B00, D07"
QSB,Đại học Bách khoa - Đại học Quốc gia TP HCM,TP HCM,115,Kỹ thuật Xây dựng; Kỹ thuật Xây dựng Công trình giao thông; Kỹ thuật  Xây dựng Công trình thủy; Kỹ thuật  Xây dựng Công trình biển; Kỹ thuật Cơ sở hạ tầng; (Nhóm ngành),59.78,"A00, A01"
QSB,Đại học Bách khoa - Đại học Quốc gia TP HCM,TP HCM,117,Kiến trúc,66.42,"A00, A01"
QSB,Đại học Bách khoa - Đại học Quốc gia TP HCM,TP HCM,120,Kỹ thuật Địa chất; Kỹ thuật Dầu khí; (Nhóm ngành),61.8,"A00, A01, D07"
QSB,Đại học Bách khoa - Đại học Quốc gia TP HCM,TP HCM,123,Quản lý Công nghiệp,69.34,"A00, A01, D01, D07"
QSB,Đại học Bách khoa - Đại học Quốc gia TP HCM,TP HCM,125,Kỹ thuật Môi trường; Quản lý Tài nguyên và Môi trường; (Nhóm ngành),60.08,"A00, A01, B00, D07"
QSB,Đại học Bách khoa - Đại học Quốc gia TP HCM,TP HCM,128,Kỹ thuật Hệ thống Công nghiệp; Logistics và Quản lý chuỗi Cung ứng,70.35,"A00, A01"
QSB,Đại học Bách khoa - Đại học Quốc gia TP HCM,TP HCM,129,Kỹ thuật Vật liệu,61.59,"A00, A01, D07"
QSB,Đại học Bách khoa - Đại học Quốc gia TP HCM,TP HCM,137,Vật lý Kỹ thuật,71.64,"A00, A01"
QSB,Đại học Bách khoa - Đại học Quốc gia TP HCM,TP HCM,138,Cơ Kỹ thuật,68.33,"A00, A01"
QSB,Đại học Bách khoa - Đại học Quốc gia TP HCM,TP HCM,140,Kỹ thuật Nhiệt (Nhiệt lạnh),68.62,"A00, A01"
QSB,Đại học Bách khoa - Đại học Quốc gia TP HCM,TP HCM,141,Bảo dưỡng Công nghiệp,61.71,"A00, A01"
QSB,Đại học Bách khoa - Đại học Quốc gia TP HCM,TP HCM,142,Kỹ thuật Ô tô,67.08,"A00, A01"
QSB,Đại học Bách khoa - Đại học Quốc gia TP HCM,TP HCM,145,Kỹ thuật Tàu thủy; Kỹ thuật Hàng không (Song ngành từ 2020),65.19,"A00, A01"
QSB,Đại học Bách khoa - Đại học Quốc gia TP HCM,TP HCM,146,Khoa học dữ liệu,77.8,"A00, A01"
QSB,Đại học Bách khoa - Đại học Quốc gia TP HCM,TP HCM,147,Địa Kỹ thuật xây dựng,55.7,"A00, A01, D07"
QSB,Đại học Bách khoa - Đại học Quốc gia TP HCM,TP HCM,148,Kinh tế xây dựng,61.07,"A00, A01"
QSB,Đại học Bách khoa - Đại học Quốc gia TP HCM,TP HCM,206,"Khoa học Máy tính (CT Chất lượng cao, giảng dạy bằng tiếng Anh, học phí tương ứng)",72.36,"A00, A01"
QSB,Đại học Bách khoa - Đại học Quốc gia TP HCM,TP HCM,207,"Kỹ thuật Máy tính (CT Chất lượng cao, giảng dạy bằng tiếng Anh, học phí tương ứng)",70.9,"A00, A01"
QSB,Đại học Bách khoa - Đại học Quốc gia TP HCM,TP HCM,208,"Kỹ thuật Điện - Điện tử (CT Tiên tiến, giảng dạy bằng tiếng Anh, học phí tương ứng)",67.81,"A00, A01"
QSB,Đại học Bách khoa - Đại học Quốc gia TP HCM,TP HCM,209,"Kỹ thuật Cơ khí (CLC, giảng dạy bằng tiếng Anh, học phí tương ứng)",61.95,"A00, A01"
QSB,Đại học Bách khoa - Đại học Quốc gia TP HCM,TP HCM,210,"Kỹ thuật Cơ điện tử (CT Chất lượng cao, giảng dạy bằng tiếng Anh, học phí tương ứng)",68.89,"A00, A01"
QSB,Đại học Bách khoa - Đại học Quốc gia TP HCM,TP HCM,211,"Kỹ thuật Cơ điện tử; Chuyên ngành Kỹ thuật Robot (CT chất lượng cao, tiên tiến)",61.59,"A00, A01"
QSB,Đại học Bách khoa - Đại học Quốc gia TP HCM,TP HCM,214,"Kỹ thuật Hóa học (CT Chất lượng cao, giảng dạy bằng tiếng Anh, học phí tương ứng)",61.62,"A00, B00, D07"
QSB,Đại học Bách khoa - Đại học Quốc gia TP HCM,TP HCM,215,"Kỹ thuật Xây dựng (CT Chất lượng cao, giảng dạy bằng tiếng Anh, học phí tương ứng)",57.72,"A00, A01"
QSB,Đại học Bách khoa - Đại học Quốc gia TP HCM,TP HCM,217,Kiến trúc (Kiến Trúc Cảnh Quan),60.84,"A00, A01"
QSB,Đại học Bách khoa - Đại học Quốc gia TP HCM,TP HCM,218,Công nghệ sinh học,64.27,"A00, B00, B08, D07"
QSB,Đại học Bách khoa - Đại học Quốc gia TP HCM,TP HCM,219,"Công nghệ Thực phẩm (CT Chất lượng cao, giảng dạy bằng tiếng Anh, học phí tương ứng)",60.78,"A00, B00, D07"
QSB,Đại học Bách khoa - Đại học Quốc gia TP HCM,TP HCM,220,"Kỹ thuật Dầu khí (CT Chất lượng cao, giảng dạy bằng tiếng Anh, học phí tương ứng)",57.45,"A00, A01, D07"
QSB,Đại học Bách khoa - Đại học Quốc gia TP HCM,TP HCM,223,"Quản lý Công nghiệp (CT Chất lượng cao, giảng dạy bằng tiếng Anh, học phí tương ứng)",62.42,"A00, A01, D01, D07"
QSB,Đại học Bách khoa - Đại học Quốc gia TP HCM,TP HCM,225,"Quản lý Tài nguyên và Môi trường (CT Chất lượng cao, giảng dạy bằng tiếng Anh, học phí tương ứng)",59.0,"A00, A01, B00, D07"
QSB,Đại học Bách khoa - Đại học Quốc gia TP HCM,TP HCM,228,"Logistics và Quản lý chuỗi cung ứng (CT Chất lượng cao, tiên tiến)",61.39,"A00, A01"
QSB,Đại học Bách khoa - Đại học Quốc gia TP HCM,TP HCM,229,Kĩ thuật vật liệu (chuyên ngành Kỹ thuật Vật liệu công nghệ cao),57.38,"A00, A01, D07"
QSB,Đại học Bách khoa - Đại học Quốc gia TP HCM,TP HCM,237,"Vật lý Kỹ thuật_Chuyên ngành Kỹ thuật Y sinh (CT Chất lượng cao, tiên tiến)",57.62,"A00, A01"
QSB,Đại học Bách khoa - Đại học Quốc gia TP HCM,TP HCM,242,"Kỹ thuật Ô tô (CT Chất lượng cao, giảng dạy bằng tiếng Anh, học phí tương ứng)",60.79,"A00, A01"
QSB,Đại học Bách khoa - Đại học Quốc gia TP HCM,TP HCM,245,"Kỹ thuật Xây dựng Công trình Giao thông (CT Chất lượng cao, giảng dạy bằng tiếng Anh, học phí tương ứng)",63.32,"A00, A01"
QSB,Đại học Bách khoa - Đại học Quốc gia TP HCM,TP HCM,266,"Khoa học Máy tính - (CLC tăng cường tiếng Nhật) (CT Chất lượng cao, tiên tiến)",67.51,"A00, A01"
QSB,Đại học Bách khoa - Đại học Quốc gia TP HCM,TP HCM,268,Cơ Kỹ thuật - CLC Tăng cường Tiếng Nhật,62.13,"A00, A01"
DTT,Đại học Tôn Đức Thắng,TP HCM,FA7340120,Kinh doanh quốc tế - học bằng tiếng Anh,22.89,"A01, D01"
DKT,Đại Học Hải Dương,Hải Dương,51140201,Giáo dục Mầm non,25.8,"C00, C10, C20, D01"
TQU,Đại học Tân Trào,Tuyên Quang,51140201,Giáo dục Mầm non,25.91,"C00, C14, C19, C20"
SPD,Đại học Đồng Tháp,Đồng Tháp,51140201,Giáo dục Mầm non,26.05,M00
DPQ,Đại học Phạm Văn Đồng,Quảng Ngãi,51140201,Giáo dục Mầm non,24.93,M01
DNU,Đại học Đồng Nai,Đồng Nai,51140201,Giáo dục Mầm non,25.4,M05
SPS,Đại học Sư phạm TP HCM,TP HCM,51140201_LA,Giáo dục mầm non hệ cao đẳng,21.74,"M02, M03"
HBT,Học viện Báo chí và Tuyên truyền,Hà Nội,527,"Ngành Kinh tế, chuyên ngành Quản lý kinh tế",25.34,A01
HBT,Học viện Báo chí và Tuyên truyền,Hà Nội,527,"Ngành Kinh tế, chuyên ngành Quản lý kinh tế",25.63,A16
HBT,Học viện Báo chí và Tuyên truyền,Hà Nội,527,"Ngành Kinh tế, chuyên ngành Quản lý kinh tế",25.79,C15
HBT,Học viện Báo chí và Tuyên truyền,Hà Nội,527,"Ngành Kinh tế, chuyên ngành Quản lý kinh tế",25.72,D01
HBT,Học viện Báo chí và Tuyên truyền,Hà Nội,530,"Ngành Chính trị học, chuyên ngành Quản lý hoạt động tư tưởng - văn hóa",25.62,"A01, A16, C15, D01"
HBT,Học viện Báo chí và Tuyên truyền,Hà Nội,531,"Ngành Chính trị học, chuyên ngành Chính trị học phát triển",25.19,"A01, A15, C15, D01"
HBT,Học viện Báo chí và Tuyên truyền,Hà Nội,532,"Ngành Chính trị học, chuyên ngành Quản lý xã hội",25.44,"A01, A16, C15, D01"
HBT,Học viện Báo chí và Tuyên truyền,Hà Nội,533,"Ngành Chính trị học, chuyên ngành Tư tưởng Hồ Chí Minh",24.94,"A01, A16, C15, D01"
HBT,Học viện Báo chí và Tuyên truyền,Hà Nội,538,"Ngành Chính trị học, chuyên ngành Truyền thông chính sách",25.58,"A01, A16"
HBT,Học viện Báo chí và Tuyên truyền,Hà Nội,538,"Ngành Chính trị học, chuyên ngành Truyền thông chính sách",25.94,C15
HBT,Học viện Báo chí và Tuyên truyền,Hà Nội,538,"Ngành Chính trị học, chuyên ngành Truyền thông chính sách",25.87,D01
SPS,Đại học Sư phạm TP HCM,TP HCM,7140101,Giáo dục học,23.47,"A00, A01, C14, D01"
HVQ,Học viện Quản Lý Giáo Dục,Hà Nội,7140101,Giáo dục học,23.05,"A00, B00, C00, D01"
TDD,Đại học Thành Đô,Hà Nội,7140101,Giáo dục học,22.84,"A00, C00, D01, D14"
VLU,Đại học Sư phạm Kỹ thuật Vĩnh Long,Vĩnh Long,7140101,Giáo dục học,24.54,A01
QSX,Đại học Khoa học xã hội và Nhân văn - Đại học Quốc gia TP HCM,TP HCM,7140101,Giáo dục học,25.02,B00
QSX,Đại học Khoa học xã hội và Nhân văn - Đại học Quốc gia TP HCM,TP HCM,7140101,Giáo dục học,24.45,"B00, D01"
QSX,Đại học Khoa học xã hội và Nhân văn - Đại học Quốc gia TP HCM,TP HCM,7140101,Giáo dục học,25.71,C00
TDM,Đại học Thủ Dầu Một,Bình Dương,7140101,Giáo dục học,22.73,"C00, C14, C15, D01"
QSX,Đại học Khoa học xã hội và Nhân văn - Đại học Quốc gia TP HCM,TP HCM,7140101,Giáo dục học,25.09,C01
NTT,Đại học Nguyễn Tất Thành,TP HCM,7140103,Công nghệ Giáo dục,18.91,"A00, A01, D01, D07"
TTQ,Đại học Quốc tế Sài Gòn,TP HCM,7140103,Công nghệ Giáo dục,18.91,"A00, A01, D01, D07"
HIU,Đại học Quốc tế Hồng Bàng,TP HCM,7140114,Quản lý giáo dục,22.69,"A00, A01, C00, D01"
DQN,Đại học Quy Nhơn,Bình Định,7140114,Quản lý giáo dục,22.69,"A00, A01, C00, D01"
TDV,Đại học Vinh,Nghệ An,7140114,Quản lý giáo dục,22.69,"A00, A01, C00, D01"
HVQ,Học viện Quản Lý Giáo Dục,Hà Nội,7140114,Quản lý giáo dục,22.69,"A00, A01, C00, D01"
SPS,Đại học Sư phạm TP HCM,TP HCM,7140114,Quản lý giáo dục,24.27,"A00, A01, C14, D01"
QSX,Đại học Khoa học xã hội và Nhân văn - Đại học Quốc gia TP HCM,TP HCM,7140114,Quản lý giáo dục,24.62,A01
VLU,Đại học Sư phạm Kỹ thuật Vĩnh Long,Vĩnh Long,7140114,Quản lý giáo dục,24.62,A01
QSX,Đại học Khoa học xã hội và Nhân văn - Đại học Quốc gia TP HCM,TP HCM,7140114,Quản lý giáo dục,25.83,C00
HNM,Đại học Thủ Đô Hà Nội,Hà Nội,7140114,Quản lý giáo dục,24.64,"C00, D01, D14, D78"
SGD,Đại học Sài Gòn,TP HCM,7140114,Quản lý giáo dục,24.54,C04
SGD,Đại học Sài Gòn,TP HCM,7140114,Quản lý giáo dục,25.45,D01
QSX,Đại học Khoa học xã hội và Nhân văn - Đại học Quốc gia TP HCM,TP HCM,7140114,Quản lý giáo dục,25.45,D01
QSX,Đại học Khoa học xã hội và Nhân văn - Đại học Quốc gia TP HCM,TP HCM,7140114,Quản lý giáo dục,25.07,D14
HLU,Đại học Hạ Long,Quảng Ninh,7140201,Giáo dục Mầm non,26.72,"A09, C00, C14, C20"
TKG,Đại học Kiên Giang,Kiên Giang,7140201,Giáo dục Mầm non,26.65,C00
TQU,Đại học Tân Trào,Tuyên Quang,7140201,Giáo dục Mầm non,26.22,"C00, C14, C19, C20"
DNB,Đại học Hoa Lư,Ninh Bình,7140201,Giáo dục Mầm non,26.24,"C00, C19"
DKT,Đại Học Hải Dương,Hải Dương,7140201,Giáo dục Mầm non,26.22,"C00, C19, C20, D01"
HNM,Đại học Thủ Đô Hà Nội,Hà Nội,7140201,Giáo dục Mầm non,25.97,"D01, D72, D90, D96"
SPD,Đại học Đồng Tháp,Đồng Tháp,7140201,Giáo dục Mầm non,25.53,M00
HDT,Đại học Hồng Đức,Thanh Hóa,7140201,Giáo dục Mầm non,25.53,M00
DQN,Đại học Quy Nhơn,Bình Định,7140201,Giáo dục Mầm non,25.53,M00
DQU,Đại học Quảng Nam,Quảng Nam,7140201,Giáo dục Mầm non,24.79,"M00, M01, M02, M03"
TDM,Đại học Thủ Dầu Một,Bình Dương,7140201,Giáo dục Mầm non,25.11,"M00, M05, M07, M11"
DPY,Đại học Phú Yên,Phú Yên,7140201,Giáo dục Mầm non,24.99,M01
TTN,Đại học Tây Nguyên,Đắk Lắk,7140201,Giáo dục Mầm non,24.99,M01
SGD,Đại học Sài Gòn,TP HCM,7140201,Giáo dục Mầm non,24.99,"M01, M02"
DVD,"Đại học Văn Hóa, Thể Thao Và Du Lịch Thanh Hóa",Thanh Hóa,7140201,Giáo dục Mầm non,25.34,"M01, M02, M03, M07"
TTB,Đại học Tây Bắc,Sơn La,7140201,Giáo dục Mầm non,24.95,"M01, M05, M07, M13"
SP2,Đại học Sư phạm Hà Nội 2,Vĩnh Phúc,7140201,Giáo dục Mầm non,25.45,"M01, M05, M09"
TCT,Đại học Cần Thơ,Cần Thơ,7140201,Giáo dục Mầm non,24.52,"M01, M06"
DHS,Đại học Sư Phạm - Đại học Huế,Huế,7140201,Giáo dục Mầm non,25.1,"M01, M09"
DDS,Đại học Sư Phạm - Đại học Đà Nẵng,Đà Nẵng,7140201,Giáo dục Mầm non,25.1,"M01, M09"
DDP,Phân Hiệu Đại học Đà Nẵng tại Kon Tum,Kon Tum,7140201,Giáo dục Mầm non,25.1,"M01, M09"
SPS,Đại học Sư phạm TP HCM,TP HCM,7140201,Giáo dục Mầm non,25.5,"M02, M03"
QSA,Đại học An Giang - Đại học Quốc gia TP HCM,An Giang,7140201,Giáo dục Mầm non,23.89,"M02, M03, M05, M06"
DNU,Đại học Đồng Nai,Đồng Nai,7140201,Giáo dục Mầm non,25.2,M05
DQB,Đại Học Quảng Bình,Quảng Bình,7140201,Giáo dục Mầm non,24.48,"M05, M06, M07, M14"
SPS,Đại học Sư phạm TP HCM,TP HCM,7140201_LA,Giáo dục Mầm non,23.05,"M02, M03"
DNU,Đại học Đồng Nai,Đồng Nai,7140202,Giáo dục Tiểu học,25.4,A00
HDT,Đại học Hồng Đức,Thanh Hóa,7140202,Giáo dục Tiểu học,25.4,A00
THV,Đại học Hùng Vương,Phú Thọ,7140202,Giáo dục Tiểu học,25.4,A00
TKG,Đại học Kiên Giang,Kiên Giang,7140202,Giáo dục Tiểu học,25.4,A00
DPQ,Đại học Phạm Văn Đồng,Quảng Ngãi,7140202,Giáo dục Tiểu học,25.4,A00
