ma_truong,ten_truong,dia_diem,ma_nganh,ten_nganh,diem,to_hop_mon
BKA,Đại học Bách khoa Hà Nội,Hà Nội,IT-E15,An toàn không gian số - Cyber Security (CT tiên tiến),28.05,"A00, A01"
BKA,Đại học Bách khoa Hà Nội,Hà Nội,CH-E11,Chương trình tiên tiến Kỹ thuật Hóa dược,23.44,"A00, B00, D07"
BKA,Đại học Bách khoa Hà Nội,Hà Nội,MS-E3,Chương trình tiên tiến KHKT Vật liệu,21.5,"A00, A01, D07"
BKA,Đại học Bách khoa Hà Nội,Hà Nội,ET-E4,Chương trình tiên tiến Điện tử - Viễn thông,25.99,"A00, A01"
BKA,Đại học Bách khoa Hà Nội,Hà Nội,EM-E13,Chương trình tiên tiến Phân tích kinh doanh,25.47,"A01, D01, D07"
BKA,Đại học Bách khoa Hà Nội,Hà Nội,EE-E18,Chương trình tiên tiến Hệ thống điện và năng lượng tái tạo,24.47,"A00, A01"
BKA,Đại học Bách khoa Hà Nội,Hà Nội,ME-E1,Chương trình tiên tiến Cơ điện tử,25.47,"A00, A01"
BKA,Đại học Bách khoa Hà Nội,Hà Nội,IT-E10,Chương trình tiên tiến Khoa học dữ liệu và Trí tuệ nhân tạo,28.8,"A00, A01"
BKA,Đại học Bách khoa Hà Nội,Hà Nội,BF-E12,Chương trình tiên tiến Kỹ thuật Thực phẩm,22.7,"A00, B00, D07"
BKA,Đại học Bách khoa Hà Nội,Hà Nội,ET-E9,Chương trình tiên tiến Hệ thống nhúng thông minh và IoT,26.45,"A00, A01, D28"
BKA,Đại học Bách khoa Hà Nội,Hà Nội,TE-E2,Chương trình tiên tiến Kỹ thuật Ô tô,25.0,"A00, A01"
BKA,Đại học Bách khoa Hà Nội,Hà Nội,ET-E5,Chương trình tiên tiến Kỹ thuật Y sinh,23.7,"A00, A01"
BKA,Đại học Bách khoa Hà Nội,Hà Nội,EM-E14,Chương trình tiên tiến Logistics và Quản lý chuỗi cung ứng,25.69,"A01, D01, D07"
BKA,Đại học Bách khoa Hà Nội,Hà Nội,EE-E8,Chương trình tiên tiến Điều khiển - Tự động hóa và Hệ thống điện,26.74,"A00, A01"
