ma_truong,ten_truong,dia_diem,ma_nganh,ten_nganh,to_hop_mon,predicted_diem,newmajor,nam
QSB,Đại học Bách khoa - Đại học Quốc gia TP HCM,TP HCM,106,Khoa học Máy tính; Kỹ thuật Máy tính; (Nhóm ngành),"A00, A01",75.65,0,2024
QSB,Đại học Bách khoa - Đại học Quốc gia TP HCM,TP HCM,108,Kỹ thuật Điện; Kỹ thuật Điện tử - Viễn thông; Kỹ thuật Điều khiển và tự động hóa; (Nhóm ngành),"A00, A01",66.57,0,2024
QSB,Đại học Bách khoa - Đại học Quốc gia TP HCM,TP HCM,109,Kỹ thuật Cơ khí; Kỹ thuật Cơ điện tử; (Nhóm ngành),"A00, A01",67.59,0,2024
QSB,Đại học Bách khoa - Đại học Quốc gia TP HCM,TP HCM,110,Kỹ thuật Cơ điện tử,"A00, A01",66.26,0,2024
QSB,Đại học Bách khoa - Đại học Quốc gia TP HCM,TP HCM,112,Kỹ thuật Dệt; Công nghệ Dệt may; (Nhóm ngành),"A00, A01",57.85,0,2024
QSB,Đại học Bách khoa - Đại học Quốc gia TP HCM,TP HCM,114,Kỹ thuật Hóa học; Công nghệ Thực phẩm; Công nghệ Sinh học; (Nhóm ngành),"A00, B00, D07",64.89,0,2024
QSB,Đại học Bách khoa - Đại học Quốc gia TP HCM,TP HCM,115,Kỹ thuật Xây dựng; Kỹ thuật Xây dựng Công trình giao thông; Kỹ thuật  Xây dựng Công trình thủy; Kỹ thuật  Xây dựng Công trình biển; Kỹ thuật Cơ sở hạ tầng; (Nhóm ngành),"A00, A01",58.98,0,2024
QSB,Đại học Bách khoa - Đại học Quốc gia TP HCM,TP HCM,117,Kiến trúc,"A00, A01",66.06,0,2024
QSB,Đại học Bách khoa - Đại học Quốc gia TP HCM,TP HCM,120,Kỹ thuật Địa chất; Kỹ thuật Dầu khí; (Nhóm ngành),"A00, A01, D07",59.66,0,2024
QSB,Đại học Bách khoa - Đại học Quốc gia TP HCM,TP HCM,123,Quản lý Công nghiệp,"A00, A01, D01, D07",62.98,0,2024
QSB,Đại học Bách khoa - Đại học Quốc gia TP HCM,TP HCM,125,Kỹ thuật Môi trường; Quản lý Tài nguyên và Môi trường; (Nhóm ngành),"A00, A01, B00, D07",59.35,0,2024
QSB,Đại học Bách khoa - Đại học Quốc gia TP HCM,TP HCM,128,Kỹ thuật Hệ thống Công nghiệp; Logistics và Quản lý chuỗi Cung ứng,"A00, A01",66.53,0,2024
QSB,Đại học Bách khoa - Đại học Quốc gia TP HCM,TP HCM,129,Kỹ thuật Vật liệu,"A00, A01, D07",60.25,0,2024
QSB,Đại học Bách khoa - Đại học Quốc gia TP HCM,TP HCM,137,Vật lý Kỹ thuật,"A00, A01",66.39,0,2024
QSB,Đại học Bách khoa - Đại học Quốc gia TP HCM,TP HCM,138,Cơ Kỹ thuật,"A00, A01",61.5,0,2024
QSB,Đại học Bách khoa - Đại học Quốc gia TP HCM,TP HCM,140,Kỹ thuật Nhiệt (Nhiệt lạnh),"A00, A01",64.9,0,2024
QSB,Đại học Bách khoa - Đại học Quốc gia TP HCM,TP HCM,141,Bảo dưỡng Công nghiệp,"A00, A01",59.56,0,2024
QSB,Đại học Bách khoa - Đại học Quốc gia TP HCM,TP HCM,142,Kỹ thuật Ô tô,"A00, A01",62.88,0,2024
QSB,Đại học Bách khoa - Đại học Quốc gia TP HCM,TP HCM,145,Kỹ thuật Tàu thủy; Kỹ thuật Hàng không (Song ngành từ 2020),"A00, A01",61.53,0,2024
QSB,Đại học Bách khoa - Đại học Quốc gia TP HCM,TP HCM,206,"Khoa học Máy tính (CT Chất lượng cao, giảng dạy bằng tiếng Anh, học phí tương ứng)","A00, A01",68.28,0,2024
QSB,Đại học Bách khoa - Đại học Quốc gia TP HCM,TP HCM,207,"Kỹ thuật Máy tính (CT Chất lượng cao, giảng dạy bằng tiếng Anh, học phí tương ứng)","A00, A01",67.81,0,2024
QSB,Đại học Bách khoa - Đại học Quốc gia TP HCM,TP HCM,208,"Kỹ thuật Điện - Điện tử (CT Tiên tiến, giảng dạy bằng tiếng Anh, học phí tương ứng)","A00, A01",64.92,0,2024
QSB,Đại học Bách khoa - Đại học Quốc gia TP HCM,TP HCM,209,"Kỹ thuật Cơ khí (CLC, giảng dạy bằng tiếng Anh, học phí tương ứng)","A00, A01",61.66,0,2024
QSB,Đại học Bách khoa - Đại học Quốc gia TP HCM,TP HCM,210,"Kỹ thuật Cơ điện tử (CT Chất lượng cao, giảng dạy bằng tiếng Anh, học phí tương ứng)","A00, A01",67.62,0,2024
QSB,Đại học Bách khoa - Đại học Quốc gia TP HCM,TP HCM,211,"Kỹ thuật Cơ điện tử; Chuyên ngành Kỹ thuật Robot (CT chất lượng cao, tiên tiến)","A00, A01",62.88,0,2024
QSB,Đại học Bách khoa - Đại học Quốc gia TP HCM,TP HCM,214,"Kỹ thuật Hóa học (CT Chất lượng cao, giảng dạy bằng tiếng Anh, học phí tương ứng)","A00, B00, D07",61.63,0,2024
QSB,Đại học Bách khoa - Đại học Quốc gia TP HCM,TP HCM,215,"Kỹ thuật Xây dựng (CT Chất lượng cao, giảng dạy bằng tiếng Anh, học phí tương ứng)","A00, A01",59.47,0,2024
QSB,Đại học Bách khoa - Đại học Quốc gia TP HCM,TP HCM,217,Kiến trúc (Kiến Trúc Cảnh Quan),"A00, A01",61.24,0,2024
QSB,Đại học Bách khoa - Đại học Quốc gia TP HCM,TP HCM,218,Công nghệ sinh học,"A00, B00, B08, D07",63.57,0,2024
QSB,Đại học Bách khoa - Đại học Quốc gia TP HCM,TP HCM,219,"Công nghệ Thực phẩm (CT Chất lượng cao, giảng dạy bằng tiếng Anh, học phí tương ứng)","A00, B00, D07",61.04,0,2024
QSB,Đại học Bách khoa - Đại học Quốc gia TP HCM,TP HCM,220,"Kỹ thuật Dầu khí (CT Chất lượng cao, giảng dạy bằng tiếng Anh, học phí tương ứng)","A00, A01, D07",58.87,0,2024
QSB,Đại học Bách khoa - Đại học Quốc gia TP HCM,TP HCM,223,"Quản lý Công nghiệp (CT Chất lượng cao, giảng dạy bằng tiếng Anh, học phí tương ứng)","A00, A01, D01, D07",61.14,0,2024
QSB,Đại học Bách khoa - Đại học Quốc gia TP HCM,TP HCM,225,"Quản lý Tài nguyên và Môi trường (CT Chất lượng cao, giảng dạy bằng tiếng Anh, học phí tương ứng)","A00, A01, B00, D07",60.38,0,2024
QSB,Đại học Bách khoa - Đại học Quốc gia TP HCM,TP HCM,228,"Logistics và Quản lý chuỗi cung ứng (CT Chất lượng cao, tiên tiến)","A00, A01",62.43,0,2024
QSB,Đại học Bách khoa - Đại học Quốc gia TP HCM,TP HCM,229,Kĩ thuật vật liệu (chuyên ngành Kỹ thuật Vật liệu công nghệ cao),"A00, A01, D07",58.84,0,2024
QSB,Đại học Bách khoa - Đại học Quốc gia TP HCM,TP HCM,237,"Vật lý Kỹ thuật_Chuyên ngành Kỹ thuật Y sinh (CT Chất lượng cao, tiên tiến)","A00, A01",59.99,0,2024
QSB,Đại học Bách khoa - Đại học Quốc gia TP HCM,TP HCM,242,"Kỹ thuật Ô tô (CT Chất lượng cao, giảng dạy bằng tiếng Anh, học phí tương ứng)","A00, A01",61.65,0,2024
QSB,Đại học Bách khoa - Đại học Quốc gia TP HCM,TP HCM,245,"Kỹ thuật Xây dựng Công trình Giao thông (CT Chất lượng cao, giảng dạy bằng tiếng Anh, học phí tương ứng)","A00, A01",64.58,0,2024
QSB,Đại học Bách khoa - Đại học Quốc gia TP HCM,TP HCM,266,"Khoa học Máy tính - (CLC tăng cường tiếng Nhật) (CT Chất lượng cao, tiên tiến)","A00, A01",66.0,0,2024
QSB,Đại học Bách khoa - Đại học Quốc gia TP HCM,TP HCM,268,Cơ Kỹ thuật - CLC Tăng cường Tiếng Nhật,"A00, A01",62.42,0,2024
