ma_truong,ten_truong,dia_diem,ma_nganh,ten_nganh,to_hop_mon,predicted_diem,newmajor,nam
HBT,Học viện Báo chí và Tuyên truyền,Hà Nội,602,Báo in,D01,34.06,0,2025
HBT,Học viện Báo chí và Tuyên truyền,Hà Nội,602,Báo in,D72,34.15,0,2025
HBT,Học viện Báo chí và Tuyên truyền,Hà Nội,602,Báo in,D78,34.56,0,2025
HBT,Học viện Báo chí và Tuyên truyền,Hà Nội,603,"Ngành Báo chí, chuyên ngành Ảnh báo chí",D01,34.89,0,2025
HBT,Học viện Báo chí và Tuyên truyền,Hà Nội,603,"Ngành Báo chí, chuyên ngành Ảnh báo chí",D72,34.96,0,2025
HBT,Học viện Báo chí và Tuyên truyền,Hà Nội,603,"Ngành Báo chí, chuyên ngành Ảnh báo chí",D78,35.56,0,2025
HBT,Học viện Báo chí và Tuyên truyền,Hà Nội,604,Báo phát thanh,D01,34.64,0,2025
HBT,Học viện Báo chí và Tuyên truyền,Hà Nội,604,Báo phát thanh,D72,34.71,0,2025
HBT,Học viện Báo chí và Tuyên truyền,Hà Nội,604,Báo phát thanh,D78,35.14,0,2025
HBT,Học viện Báo chí và Tuyên truyền,Hà Nội,605,Báo truyền hình,D01,35.37,0,2025
HBT,Học viện Báo chí và Tuyên truyền,Hà Nội,605,Báo truyền hình,D72,35.44,0,2025
HBT,Học viện Báo chí và Tuyên truyền,Hà Nội,605,Báo truyền hình,D78,36.05,0,2025
HBT,Học viện Báo chí và Tuyên truyền,Hà Nội,606,"Ngành Báo chí, chuyên ngành Quay phim truyền hình","D01, D78",35.82,0,2025
HBT,Học viện Báo chí và Tuyên truyền,Hà Nội,606,"Ngành Báo chí, chuyên ngành Quay phim truyền hình",D72,35.17,0,2025
HBT,Học viện Báo chí và Tuyên truyền,Hà Nội,607,Báo mạng điện tử,D01,35.31,0,2025
HBT,Học viện Báo chí và Tuyên truyền,Hà Nội,607,Báo mạng điện tử,D72,35.34,0,2025
HBT,Học viện Báo chí và Tuyên truyền,Hà Nội,607,Báo mạng điện tử,D78,35.77,0,2025
HBT,Học viện Báo chí và Tuyên truyền,Hà Nội,610,"Ngành Quan hệ quốc tế, chuyên ngành Thông tin đối ngoại","A01, D01",35.54,0,2025
