ma_truong,ten_truong,dia_diem,ma_nganh,ten_nganh,diem,to_hop_mon,nam,newmajor
NTH,Đại học Ngoại thương (phía Bắc),Hà Nội,NTH05,Ngôn ngữ Pháp,34.8,D01,2020,0
NTH,Đại học Ngoại thương (phía Bắc),Hà Nội,NTH04,Ngôn ngữ Anh,36.25,D01,2020,0
NTH,Đại học Ngoại thương (phía Bắc),Hà Nội,NTH07,Ngôn ngữ Nhật,33.9,D01,2020,0
KHA,Đại học Kinh tế quốc dân,Hà Nội,EP10,Đầu tư tài chính (BFI - tiếng Anh hệ số 2),34.55,"A01, D01, D07, D10",2020,0
KHA,Đại học Kinh tế quốc dân,Hà Nội,EP01,Khởi nghiệp và phát triển kinh doanh (BBAE) học bằng tiếng Anh (tiếng Anh hệ số 2),33.55,"A01, D01, D07, D09",2020,0
KHA,Đại học Kinh tế quốc dân,Hà Nội,EP14,Logistics và Quản lý chuỗi cung ứng tích hợp chứng chỉ quốc tế (LSIC),35.55,"A01, D01, D07, D10",2020,0
KHA,Đại học Kinh tế quốc dân,Hà Nội,7220201,Ngôn ngữ Anh,35.6,"A01, D01, D09, D10",2020,0
HTC,Học viện Tài chính,Hà Nội,7340201C06,Hải quan & Logistics,31.17,"A01, D01, D07",2020,0
HTC,Học viện Tài chính,Hà Nội,7220201,Ngôn ngữ Anh,32.7,"A01, D01, D07",2020,0
HTC,Học viện Tài chính,Hà Nội,7340201C09,Phân tích tài chính,31.8,"A01, D01, D07",2020,0
HTC,Học viện Tài chính,Hà Nội,7340201C11,Tài chính doanh nghiệp,30.17,"A01, D01, D07",2020,0
QHF,Đại học Ngoại ngữ - Đại học Quốc Gia Hà Nội,Hà Nội,7220202,Ngôn ngữ Nga,31.37,"D01, D02, D78, D90",2020,0
QHF,Đại học Ngoại ngữ - Đại học Quốc Gia Hà Nội,Hà Nội,7140235,Sư phạm Tiếng Đức,31.85,"D01, D05, D78, D90",2020,0
QHF,Đại học Ngoại ngữ - Đại học Quốc Gia Hà Nội,Hà Nội,7140231,Sư phạm Tiếng Anh,35.83,"D01, D14, D78, D90",2020,0
QHF,Đại học Ngoại ngữ - Đại học Quốc Gia Hà Nội,Hà Nội,7140237,Sư phạm tiếng Hàn Quốc,35.87,"D01, D78, D90",2020,0
QHF,Đại học Ngoại ngữ - Đại học Quốc Gia Hà Nội,Hà Nội,7140236,Sư phạm tiếng Nhật,35.66,"D01, D06, D78, D90",2020,0
QHF,Đại học Ngoại ngữ - Đại học Quốc Gia Hà Nội,Hà Nội,7140234,Sư phạm Tiếng Trung Quốc,36.08,"D01, D04, D78, D90",2020,0
QHE,Đại học Kinh Tế - Đại học Quốc Gia Hà Nội,Hà Nội,QHE42,Kế toán (CLC),32.6,"A01, D01, D09, D10",2020,0
QHE,Đại học Kinh Tế - Đại học Quốc Gia Hà Nội,Hà Nội,QHE44,Kinh tế (CLC),32.47,"A01, D01, D09, D10",2020,0
QHE,Đại học Kinh Tế - Đại học Quốc Gia Hà Nội,Hà Nội,QHE45,Kinh tế phát triển (CLC),31.73,"A01, D01, D09, D10",2020,0
QHE,Đại học Kinh Tế - Đại học Quốc Gia Hà Nội,Hà Nội,QHE43,Kinh tế quốc tế (CLC),34.5,"A01, D01, D09, D10",2020,0
QHE,Đại học Kinh Tế - Đại học Quốc Gia Hà Nội,Hà Nội,QHE40,Quản trị kinh doanh (CLC),33.45,"A01, D01, D09, D10",2020,0
QHE,Đại học Kinh Tế - Đại học Quốc Gia Hà Nội,Hà Nội,QHE41,Tài chính - Ngân hàng (CLC),32.72,"A01, D01, D09, D10",2020,0
NHF,Đại học Hà Nội,Hà Nội,7340301,Kế toán,31.48,D01,2020,0
NHF,Đại học Hà Nội,Hà Nội,7340115,Marketing,34.48,D01,2020,0
NHF,Đại học Hà Nội,Hà Nội,7220205,Ngôn ngữ Đức,31.83,"D01, D05",2020,0
NHF,Đại học Hà Nội,Hà Nội,7220209,Ngôn ngữ Nhật,34.47,"D01, D06",2020,0
NHF,Đại học Hà Nội,Hà Nội,7220208,Ngôn ngữ Italia,30.43,D01,2020,0
NHF,Đại học Hà Nội,Hà Nội,7220201,Ngôn ngữ Anh,34.82,D01,2020,0
NHF,Đại học Hà Nội,Hà Nội,7220206,Ngôn ngữ Tây Ban Nha,31.73,D01,2020,0
NHF,Đại học Hà Nội,Hà Nội,7220204,Ngôn ngữ Trung Quốc,34.63,"D01, D04",2020,0
NHF,Đại học Hà Nội,Hà Nội,7220210,Ngôn ngữ Hàn Quốc,35.38,D01,2020,0
NHF,Đại học Hà Nội,Hà Nội,7220203,Ngôn ngữ Pháp,32.83,"D01, D03",2020,0
NHF,Đại học Hà Nội,Hà Nội,7810103,Quản trị dịch vụ du lịch và lữ hành,33.27,D01,2020,0
NHF,Đại học Hà Nội,Hà Nội,7340101,Quản trị Kinh doanh,33.2,D01,2020,0
NHF,Đại học Hà Nội,Hà Nội,7310601,Quốc tế học,31.3,D01,2020,0
NHF,Đại học Hà Nội,Hà Nội,7340201,Tài chính – Ngân hàng,31.5,D01,2020,0
NHF,Đại học Hà Nội,Hà Nội,7320109,Truyền thông doanh nghiệp,32.2,"D01, D03",2020,0
DTT,Đại học Tôn Đức Thắng,TP HCM,7720201,Dược học,33.0,"A00, B00, D07",2020,0
DTT,Đại học Tôn Đức Thắng,TP HCM,7340301,Kế toán,33.5,"A00, A01, C01, D07",2020,0
DTT,Đại học Tôn Đức Thắng,TP HCM,7480101,Khoa học máy tính,33.75,"A00, A01, D01",2020,0
DTT,Đại học Tôn Đức Thắng,TP HCM,F7480101,Khoa học máy tính - Chất lượng cao giảng dạy bằng tiếng Anh - Việt,30.0,"A00, A01, D01",2020,0
DTT,Đại học Tôn Đức Thắng,TP HCM,F7340120,Kinh doanh quốc tế - Chất lượng cao giảng dạy bằng tiếng Anh - Việt,33.0,"A00, A01, D01",2020,0
DTT,Đại học Tôn Đức Thắng,TP HCM,7480103,Kỹ thuật phần mềm,34.5,"A00, A01, D01",2020,0
DTT,Đại học Tôn Đức Thắng,TP HCM,F7480103,Kỹ thuật phần mềm - Chất lượng cao giảng dạy bằng tiếng Anh - Việt,31.5,"A00, A01, D01",2020,0
DTT,Đại học Tôn Đức Thắng,TP HCM,7480102,Mạng máy tính và truyền thông dữ liệu,33.0,"A00, A01, D01",2020,0
DTT,Đại học Tôn Đức Thắng,TP HCM,7340115,Marketing,35.25,"A00, A01, D01",2020,0
DTT,Đại học Tôn Đức Thắng,TP HCM,F7340115,Marketing -Chất lượng cao giảng dạy bằng tiếng Anh - Việt,33.0,"A00, A01, D01",2020,0
DTT,Đại học Tôn Đức Thắng,TP HCM,7520216,Ngành Kỹ thuật điều khiển & Tự động hóa,31.25,"A00, A01, C01",2020,0
DTT,Đại học Tôn Đức Thắng,TP HCM,7380101,Ngành Luật,33.25,"A00, A01, C01, D01",2020,0
DTT,Đại học Tôn Đức Thắng,TP HCM,7340120,Ngành Kinh doanh quốc tế,35.25,"A00, A01, D01",2020,0
DTT,Đại học Tôn Đức Thắng,TP HCM,7220204,Ngôn ngữ Trung Quốc,31.5,"D01, D04, D11, D55",2020,0
DTT,Đại học Tôn Đức Thắng,TP HCM,7220201,Ngôn ngữ Anh,33.25,"D01, D11",2020,0
DTT,Đại học Tôn Đức Thắng,TP HCM,F7220201,Ngôn ngữ Anh -Chất lượng cao giảng dạy bằng tiếng Anh - Việt,30.75,"D01, D11",2020,0
DTT,Đại học Tôn Đức Thắng,TP HCM,F7340101N,Quản trị kinh doanh (Chuyên ngành: Quản trị nhà hàng - khách sạn) - Chất lượng cao giảng dạy bằng tiếng Anh - Việt,31.5,"A00, A01, D01",2020,0
DTT,Đại học Tôn Đức Thắng,TP HCM,7340101,Quản trị Kinh doanh,34.25,"A00, A01, D01",2020,0
DTT,Đại học Tôn Đức Thắng,TP HCM,7340101N,Quản trị kinh doanh (Chuyên ngành Quản trị Nhà hàng - Khách sạn),34.25,"A00, A01, D01",2020,0
DTT,Đại học Tôn Đức Thắng,TP HCM,F7340101,Quản trị kinh doanh (Chuyên ngành: Quản trị nguồn nhân lực) - Chất lượng cao giảng dạy bằng tiếng Anh - Việt,33.0,"A00, A01, D01",2020,0
DTT,Đại học Tôn Đức Thắng,TP HCM,7340201,Tài chính – Ngân hàng,33.5,"A00, A01, D01, D07",2020,0
DTT,Đại học Tôn Đức Thắng,TP HCM,7210403,Thiết kế đồ họa,30.0,"H00, H01, H02, H03",2020,0
DTT,Đại học Tôn Đức Thắng,TP HCM,7310630Q,Việt Nam học (Chuyên ngành Du lịch và Quản lý du lịch),32.75,"A01, C00, C01, D01",2020,0
DTT,Đại học Tôn Đức Thắng,TP HCM,7310630,Việt Nam học,31.75,"A01, C00, C01, D01",2020,0
MHN,Đại học Mở Hà Nội,Hà Nội,7220201,Ngôn ngữ Anh,30.33,D01,2020,0
MHN,Đại học Mở Hà Nội,Hà Nội,7220204,Ngôn ngữ Trung Quốc,31.12,"D01, D04",2020,0
MHN,Đại học Mở Hà Nội,Hà Nội,7810103,Quản trị dịch vụ du lịch và lữ hành,30.07,D01,2020,0
HBT,Học viện Báo chí và Tuyên truyền,Hà Nội,602,Báo in,31.0,D72,2020,0
HBT,Học viện Báo chí và Tuyên truyền,Hà Nội,607,Báo mạng điện tử,31.6,D72,2020,0
